04 28 2004 03 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.809   -0.014    98   100    0.726   -0.022    80    82    0.726   -0.050    66    68
04 28 2004 03 30 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.794   -0.009    97   100    0.726   -0.028    80    81    0.761   -0.058    67    68
04 28 2004 03 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.794   -0.012    97   100    0.712   -0.019    79    82    0.740   -0.043    67    68
04 28 2004 04 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.803   -0.009    98   100    0.721   -0.014    80    82    0.746   -0.040    66    68
04 28 2004 04 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.800   -0.009    98   100    0.706   -0.017    79    81    0.743   -0.034    66    68
04 28 2004 04 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.822   -0.007    98   100    0.714   -0.018    80    83    0.740   -0.047    67    68
04 28 2004 04 45 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.804   -0.012    98    99    0.720   -0.013    80    82    0.750   -0.053    67    68
04 28 2004 05 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.803   -0.006    98   100    0.715   -0.011    80    81    0.736   -0.049    66    68
04 28 2004 05 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.798   -0.018    98   100    0.726   -0.013    80    82    0.739   -0.045    67    68
04 28 2004 05 30 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.795   -0.002    98   100    0.729   -0.018    80    82    0.747   -0.041    66    68
04 28 2004 05 45 00 00000000 11110000  11.6 1456.9  13.59     0     0     0.832   -0.007    98   100    0.728   -0.018    80    82    0.754   -0.037    67    68
04 28 2004 06 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.794   -0.010    97    99    0.729   -0.018    79    82    0.735   -0.036    66    68
04 28 2004 06 15 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.819   -0.013    97   101    0.746   -0.019    79    82    0.726   -0.037    66    68
04 28 2004 06 30 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.799   -0.004    96    99    0.730   -0.017    78    81    0.732   -0.044    66    68
04 28 2004 06 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.800   -0.004    97    99    0.737   -0.013    79    82    0.751   -0.047    66    68
04 28 2004 07 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.823   -0.001    97    99    0.730   -0.008    79    81    0.764   -0.039    66    67
04 28 2004 07 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.792   -0.020    97    99    0.745   -0.016    79    81    0.733   -0.034    67    68
04 28 2004 07 30 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.807   -0.015    97    98    0.738   -0.012    79    81    0.754   -0.040    66    68
04 28 2004 07 45 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.810    0.002    97   100    0.747   -0.015    80    82    0.757   -0.044    67    69
04 28 2004 08 00 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.824   -0.005    98   100    0.734   -0.014    80    82    0.751   -0.045    67    68
04 28 2004 08 15 00 00000000 11110000  11.7 1456.9  13.61     0     0     0.819   -0.013    97   100    0.731   -0.017    79    82    0.745   -0.038    66    68
04 28 2004 08 30 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.816   -0.009    98   101    0.742   -0.019    80    82    0.730   -0.044    67    68
04 28 2004 08 45 00 00000000 11110000  11.7 1456.9  13.61     0     0     0.810   -0.017    98   100    0.721   -0.015    80    82    0.726   -0.035    67    68
04 28 2004 09 00 00 00000000 11110000  11.7 1456.9  13.61     0     0     0.828   -0.005    99   101    0.761   -0.011    80    82    0.748   -0.039    67    69
04 28 2004 09 15 00 00000000 11110000  11.7 1456.9  13.61     0     0     0.804   -0.006    98   101    0.760   -0.013    81    83    0.755   -0.034    66    69
04 28 2004 09 30 00 00000000 11110000  11.7 1456.9  13.62     0     0     0.832   -0.010    98   100    0.739   -0.003    80    82    0.736   -0.040    67    68
04 28 2004 09 45 00 00000000 11110000  11.7 1456.9  13.63     0     0     0.835   -0.015    98   100    0.755   -0.014    79    82    0.751   -0.046    66    68
04 28 2004 10 00 00 00000000 11110000  11.7 1456.9  13.65     0     0     0.814   -0.011    98   100    0.743   -0.018    81    83    0.751   -0.045    67    69
